,idx,alies,nom,equip,temp,div,edat,PJ,PT,PC,PS,MIN,TG,TV,G
0,0,Albert Cano,Albert Cano López, Mallorca B,2002-03,2ªB,19,15,6,3,9,551,2,0,1
1,0,Albert Cano,Albert Cano López, Mallorca B,2003-04,2ªB,20,15,8,5,7,707,2,1,0
2,0,Albert Cano,Albert Cano López, Albacete,2004-05,1ª,21,2,1,1,1,118,0,0,0
3,0,Albert Cano,Albert Cano López, Albacete,2005-06,2ª,22,0,0,0,0,0,0,0,0
4,0,Albert Cano,Albert Cano López, Almansa,2005-06,2ªB,22,7,5,4,2,471,4,0,1
5,0,Albert Cano,Albert Cano López, Albacete,2006-07,2ª,23,1,0,0,1,3,1,0,0
6,0,Albert Cano,Albert Cano López, Eldense,2006-07,2ªB,23,15,13,10,2,1148,8,1,1
7,0,Albert Cano,Albert Cano López, Albacete,2007-08,2ª,24,6,3,2,3,272,1,0,0
8,0,Albert Cano,Albert Cano López, Albacete,2008-09,2ª,25,0,0,0,0,0,0,0,0
9,0,Albert Cano,Albert Cano López, Orihuela CF,2008-09,2ªB,25,10,3,1,7,270,2,0,0
0,1,Riera,Albert Riera Ortega, Mallorca B,1999-00,2ªB,17,7,1,0,6,239,0,0,1
1,1,Riera,Albert Riera Ortega, Mallorca,1999-00,1ª,17,0,0,0,0,0,0,0,0
2,1,Riera,Albert Riera Ortega, Mallorca B,2000-01,2ªB,18,31,24,7,7,1906,3,0,6
3,1,Riera,Albert Riera Ortega, Mallorca,2000-01,1ª,18,3,0,0,3,72,0,0,1
4,1,Riera,Albert Riera Ortega, Mallorca,2001-02,1ª,19,8,1,0,7,169,1,0,1
5,1,Riera,Albert Riera Ortega, Mallorca B,2001-02,2ªB,19,16,16,12,0,1382,4,0,5
6,1,Riera,Albert Riera Ortega, Mallorca,2002-03,1ª,20,35,34,17,1,2704,5,0,4
7,1,Riera,Albert Riera Ortega, Girondins de Bordeaux,2003-04,1ª,21,32,31,18,1,2636,8,0,2
8,1,Riera,Albert Riera Ortega, Girondins de Bordeaux,2004-05,1ª,22,21,17,4,4,1448,3,0,2
9,1,Riera,Albert Riera Ortega, Espanyol,2005-06,1ª,23,8,4,0,4,314,1,0,0
10,1,Riera,Albert Riera Ortega, Manchester City,2005-06,1ª,23,15,12,6,3,1069,2,0,1
11,1,Riera,Albert Riera Ortega, Espanyol,2006-07,1ª,24,28,23,14,5,1958,5,3,4
12,1,Riera,Albert Riera Ortega, Espanyol,2007-08,1ª,25,36,30,12,6,2628,7,0,4
13,1,Riera,Albert Riera Ortega, Liverpool,2008-09,1ª,26,28,24,4,4,1898,0,0,3
14,1,Riera,Albert Riera Ortega, Liverpool,2009-10,1ª,27,12,9,2,3,649,0,0,0
15,1,Riera,Albert Riera Ortega, Galatasaray,2012-13,,30,-,-,-,-,-,-,-,-
16,1,Riera,Albert Riera Ortega, Galatasaray,2013-14,,31,-,-,-,-,-,-,-,-
17,1,Riera,Albert Riera Ortega, Udinese,2014-15,1ª,32,0,0,0,0,0,0,0,0
18,1,Riera,Albert Riera Ortega, Mallorca,2014-15,2ª,32,6,1,0,5,234,2,0,0
0,2,Prats,Antonio Prats Cervera, Mallorca Atlético,1990-91,2ªB,19,12,12,11,0,1050,0,1,0
1,2,Prats,Antonio Prats Cervera, Mallorca,1991-92,1ª,20,1,0,0,1,47,0,0,0
2,2,Prats,Antonio Prats Cervera, Mallorca,1992-93,2ª,21,14,13,13,1,1197,0,0,0
3,2,Prats,Antonio Prats Cervera, Mallorca,1993-94,2ª,22,32,32,31,0,2845,3,0,0
4,2,Prats,Antonio Prats Cervera, Mallorca,1994-95,2ª,23,38,38,37,0,3390,3,1,0
5,2,Prats,Antonio Prats Cervera, Celta de Vigo,1995-96,1ª,24,41,41,41,0,3690,2,0,0
6,2,Prats,Antonio Prats Cervera, Betis,1996-97,1ª,25,40,40,40,0,3600,4,0,0
7,2,Prats,Antonio Prats Cervera, Betis,1997-98,1ª,26,36,36,34,0,3107,3,2,0
8,2,Prats,Antonio Prats Cervera, Betis,1998-99,1ª,27,32,31,30,1,2835,5,0,0
9,2,Prats,Antonio Prats Cervera, Betis,1999-00,1ª,28,37,37,37,0,3330,5,0,1
10,2,Prats,Antonio Prats Cervera, Betis,2000-01,2ª,29,38,38,37,0,3407,3,1,0
11,2,Prats,Antonio Prats Cervera, Betis,2001-02,1ª,30,36,36,36,0,3240,5,0,0
12,2,Prats,Antonio Prats Cervera, Betis,2002-03,1ª,31,38,38,38,0,3420,3,0,0
13,2,Prats,Antonio Prats Cervera, Betis,2003-04,1ª,32,16,16,16,0,1440,1,0,0
14,2,Prats,Antonio Prats Cervera, Betis,2004-05,1ª,33,9,9,9,0,810,1,0,0
15,2,Prats,Antonio Prats Cervera, Mallorca,2005-06,1ª,34,30,30,29,0,2690,4,0,0
16,2,Prats,Antonio Prats Cervera, Mallorca,2006-07,1ª,35,22,22,22,0,1980,3,0,0
17,2,Prats,Antonio Prats Cervera, Hércules,2007-08,2ª,36,7,7,7,0,630,0,0,0
0,3,Tuni,Antoni Lluis Adrover Colom, Mallorca B,2001-02,2ªB,19,14,14,5,0,1189,1,0,2
1,3,Tuni,Antoni Lluis Adrover Colom, Mallorca B,2002-03,2ªB,20,29,29,15,0,2425,4,0,8
2,3,Tuni,Antoni Lluis Adrover Colom, Mallorca,2002-03,1ª,20,5,0,0,5,62,0,0,1
3,3,Tuni,Antoni Lluis Adrover Colom, Salamanca,2003-04,2ª,21,39,34,13,5,2701,3,0,4
4,3,Tuni,Antoni Lluis Adrover Colom, Mallorca,2004-05,1ª,22,31,15,4,16,1626,3,0,1
5,3,Tuni,Antoni Lluis Adrover Colom, Mallorca,2005-06,1ª,23,34,26,8,8,2076,4,0,0
6,3,Tuni,Antoni Lluis Adrover Colom, Mallorca,2006-07,1ª,24,11,4,0,7,273,2,0,0
7,3,Tuni,Antoni Lluis Adrover Colom, Mallorca,2007-08,1ª,25,16,9,1,7,674,0,0,1
8,3,Tuni,Antoni Lluis Adrover Colom, Hércules,2008-09,2ª,26,37,32,5,5,2345,7,0,3
9,3,Tuni,Antoni Lluis Adrover Colom, Mallorca,2009-10,1ª,27,9,7,1,2,534,2,0,1
10,3,Tuni,Antoni Lluis Adrover Colom, Mallorca,2010-11,1ª,28,0,0,0,0,0,0,0,0
11,3,Tuni,Antoni Lluis Adrover Colom, Gimnàstic de Tarragona,2010-11,2ª,28,11,7,0,4,558,0,0,0
12,3,Tuni,Antoni Lluis Adrover Colom, Gimnàstic de Tarragona,2011-12,2ª,29,26,9,3,17,1261,4,0,3
0,4,Toni Muñoz,Antonio Muñoz Llompart, Logroñés,2001-02,2ªB,19,11,5,2,6,467,0,0,0
