,idx,Àlies,Nom,Data de naixement,Lloc de naixement,Pos,T,PJ,TG,TV,G
0,1,Albert Cano,Albert Cano López,01/08/1983,Palma,mig,7,71,20,2,3
1,2,Riera,Albert Riera Ortega,15/04/1982,Manacor,mig,8,178,28,3,26
2,3,Prats,Antonio Prats Cervera,09/09/1971,Capdepera,por,18,479,45,5,1
3,4,Tuni,Antoni Lluis Adrover Colom,14/06/1982,Sóller,mig,11,262,30,0,24
4,5,Toni Muñoz,Antonio Muñoz Llompart,13/08/1982,Palma,dav,3,34,1,0,2
5,6,Carmona,Carlos Carmona Bonet,05/07/1987,Palma,mig,19,524,95,7,81
6,7,David Castedo,David Castedo Escudero,26/01/1974,Palma,def,15,427,66,7,2
7,8,Feliciano,Feliciano Casanova Arribas,30/11/1965,Eivissa,def,7,157,57,9,5
8,9,Marcos,Fernando Marcos Santiago,04/12/1968,Felanitx,por,15,186,6,0,0
9,10,Xisco Nadal,Fernando Sebastián Nadal Martorell,27/06/1986,Palma,dav,9,176,24,6,15
10,11,Xisco,Francisco Jiménez Tejada,26/06/1986,Santa Ponça,dav,16,328,56,3,93
11,12,Paco Soler,Francisco Manuel Soler Atencia,05/03/1970,Palma,mig,15,408,50,0,28
12,13,Xisco Campos,Francisco Javier Campos Coll,10/03/1982,Binissalem,def,21,585,142,9,10
13,14,Xisco,Francisco Javier Muñoz Llompart,05/09/1980,Manacor,dav,16,332,58,2,54
14,15,Biel Ribas,Gabriel Ribas Ródenas,02/12/1985,Palma,por,20,445,38,0,0
15,16,Vidal,Gabriel Vidal Nova,05/10/1969,Palma,mig,14,363,15,1,22
16,17,Ramis,Iván Andrés Ramis Barrios,25/10/1984,Sa Pobla,def,17,345,96,11,19
17,18,Mágico Díaz,Javier Díaz Pons,03/02/1968,Sa Pobla,mig,12,245,26,0,23
18,19,Gálvez,José Gálvez Estévez,03/08/1974,Palma,dav,12,270,5,0,56
19,20,Josemi,José Miguel Pérez Ruiz,28/01/1976,Palma,dav,13,291,75,9,88
20,21,Bermell,José Ramón Bermell Sabater,26/03/1962,Palma,por,12,172,5,0,0
21,22,Martí,Josep Lluís Martí Soler,28/04/1975,Palma,mig,20,591,163,4,23
22,23,Juanmi,Juan Miguel Gelabert Margüello,26/09/1972,Capdepera,def,16,406,99,6,7
23,24,Robles,Julián Robles García,23/03/1981,Palma,mig,13,334,90,3,13
24,25,Magín,Magín Mir Martínez,06/01/1970,Palma,def,12,228,84,16,10
25,26,Marcos García,Marcos García Barreno,21/03/1987,Sant Antoni de Portmany,mig,14,292,27,3,29
